"season","place","acronym","team","points","played","won","draw","loss","goals_for","goals_against","goals_diff","rating","avg_goals_for_match","avg_goals_against_match","relegation"
2003,1,"CRU","Cruzeiro",100,46,31,7,8,102,47,55,0.725,2.217,1.022,false
2003,2,"SAN","Santos",87,46,25,12,9,93,60,33,0.63,2.022,1.304,false
2003,3,"SAO","SaoPaulo",78,46,22,12,12,81,67,14,0.565,1.761,1.457,false
2003,4,"SCA","SaoCaetano",74,46,19,14,13,53,37,16,0.536,1.152,0.804,false
2003,5,"CFC","Coritiba",73,46,21,10,15,67,58,9,0.529,1.457,1.261,false
2003,6,"CAM","Atletico-MG",72,46,19,15,12,76,62,14,0.522,1.652,1.348,false
2003,7,"INT","Internacional",72,46,20,10,16,59,57,2,0.522,1.283,1.239,false
2003,8,"FLA","Flamengo",66,46,18,12,16,66,73,-7,0.478,1.435,1.587,false
2003,9,"GOI","Goias",65,46,18,11,17,78,63,15,0.471,1.696,1.37,false
2003,10,"PAR","Parana",65,46,18,11,17,85,75,10,0.471,1.848,1.63,false
2003,11,"FIG","Figueirense",65,46,17,14,15,62,54,8,0.471,1.348,1.174,false
2003,12,"CAP","Athletico-PR",61,46,17,10,19,67,72,-5,0.442,1.457,1.565,false
2003,13,"GUA","Guarani",61,46,17,10,19,64,72,-8,0.442,1.391,1.565,false
2003,14,"CRI","Criciuma",60,46,17,9,20,57,69,-12,0.435,1.239,1.5,false
2003,15,"COR","Corinthians",59,46,15,12,19,61,63,-2,0.428,1.326,1.37,false
2003,16,"VIT","Vitoria",56,46,15,11,20,50,64,-14,0.406,1.087,1.391,false
2003,17,"VAS","Vasco",54,46,13,15,18,57,69,-12,0.391,1.239,1.5,false
2003,18,"JUV","Juventude",53,46,12,14,20,55,70,-15,0.384,1.196,1.522,false
2003,19,"FLU","Fluminense",52,46,13,11,22,52,77,-25,0.377,1.13,1.674,false
2003,20,"PON","PontePreta",50,46,11,18,17,63,73,-10,0.362,1.37,1.587,false
2003,21,"GRE","Gremio",50,46,13,11,22,54,68,-14,0.362,1.174,1.478,true
2003,22,"PAY","Paysandu",49,46,15,12,19,74,77,-3,0.355,1.609,1.674,true
2003,23,"FOR","Fortaleza",49,46,12,13,21,58,74,-16,0.355,1.261,1.609,true
2003,24,"ECB","Bahia",46,46,12,10,24,59,92,-33,0.333,1.283,2,true
2004,1,"SAN","Santos",89,46,27,8,11,103,58,45,0.645,2.239,1.261,false
2004,2,"CAP","Athletico-PR",86,46,25,11,10,93,56,37,0.623,2.022,1.217,false
2004,3,"SAO","SaoPaulo",82,46,24,10,12,78,43,35,0.594,1.696,0.935,false
2004,4,"PAL","Palmeiras",79,46,22,13,11,72,47,25,0.572,1.565,1.022,false
